City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobyo,SO,5.3505,48.5268,76.41,86,23,24.9,few clouds
1,Lompoc,US,34.6391,-120.4579,82.69,63,0,8.01,clear sky
2,Mataura,NZ,-46.1927,168.8643,44.53,73,20,2.48,few clouds
3,Bluff,NZ,-46.6,168.3333,45.39,75,80,10.69,broken clouds
4,Castro,BR,-24.7911,-50.0119,54.07,87,48,7.36,scattered clouds
5,Jamestown,US,42.097,-79.2353,79.05,45,94,1.01,overcast clouds
6,Saskylakh,RU,71.9167,114.0833,30.16,95,98,15.95,overcast clouds
7,Kapaa,US,22.0752,-159.319,84.11,72,84,5.99,broken clouds
8,Nemuro,JP,43.3236,145.575,64.08,85,100,8.75,light rain
9,Mehamn,NO,71.0357,27.8492,46.31,87,100,14.97,overcast clouds
10,Aswan,EG,24.0934,32.907,87.1,25,0,8.05,clear sky
11,Rikitea,PF,-23.1203,-134.9692,72.55,68,0,13.11,clear sky
12,Albany,US,42.6001,-73.9662,68.79,61,55,5.01,broken clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,87,75,8.05,broken clouds
14,Bredasdorp,ZA,-34.5322,20.0403,54.34,93,39,6.24,scattered clouds
15,Nikolskoye,RU,59.7035,30.7861,48.09,84,99,5.99,overcast clouds
16,Fremont,US,37.5483,-121.9886,86.59,53,0,11.5,clear sky
17,Kavieng,PG,-2.5744,150.7967,83.05,67,100,13.06,overcast clouds
18,Paragominas,BR,-2.9667,-47.4833,84.49,57,88,8.25,overcast clouds
19,Carnarvon,AU,-24.8667,113.6333,64.49,51,0,12.17,clear sky
20,Poum,NC,-20.2333,164.0167,74.93,72,0,19.04,clear sky
21,Ushuaia,AR,-54.8,-68.3,42.46,52,75,5.75,broken clouds
22,Kwinana,AU,-32.25,115.7667,50.18,92,82,4.18,broken clouds
23,Tigzirt,DZ,36.8886,4.1198,74.66,79,78,1.92,broken clouds
24,Nenjiang,CN,49.1833,125.2167,49.1,91,10,6.38,clear sky
25,Port Elizabeth,ZA,-33.918,25.5701,61.11,87,0,12.66,clear sky
26,Olecko,PL,54.0337,22.507,49.12,65,16,14.34,few clouds
27,Busselton,AU,-33.65,115.3333,56.84,82,100,5.7,overcast clouds
28,Kaeo,NZ,-35.1,173.7833,54.32,82,58,2.89,broken clouds
29,Kahului,US,20.8947,-156.47,85.96,71,72,11.01,broken clouds
30,Batsfjord,NO,70.6345,29.7185,46.33,100,75,19.57,broken clouds
31,Walvis Bay,NA,-22.9575,14.5053,58.15,88,19,9.22,few clouds
32,Evensk,RU,61.95,159.2333,40.41,56,91,8.95,overcast clouds
33,Ulladulla,AU,-35.35,150.4667,48.78,68,3,6.85,clear sky
34,Victoria,HK,22.2855,114.1577,87.33,74,0,1.99,clear sky
35,Vaini,TO,-21.2,-175.2,78.96,83,20,4.61,few clouds
36,Mahebourg,MU,-20.4081,57.7,71.26,83,40,13.8,scattered clouds
37,Pisco,PE,-13.7,-76.2167,62.65,77,13,9.22,few clouds
38,Hermanus,ZA,-34.4187,19.2345,56.8,86,76,9.24,broken clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,64.42,90,75,15.99,light rain
40,Kununurra,AU,-15.7667,128.7333,69.78,94,64,0.0,broken clouds
41,Antofagasta,CL,-23.65,-70.4,60.08,71,5,4.5,clear sky
42,Dingle,PH,10.9995,122.6711,74.66,92,99,7.58,overcast clouds
43,New Norfolk,AU,-42.7826,147.0587,47.7,81,87,3.0,overcast clouds
44,Thompson,CA,55.7435,-97.8558,68.16,45,40,3.44,scattered clouds
45,Saint-Philippe,RE,-21.3585,55.7679,69.39,86,69,15.19,light rain
46,Tucurui,BR,-3.7661,-49.6725,84.25,57,98,0.92,overcast clouds
47,Ribeira Grande,PT,38.5167,-28.7,73.8,88,20,10.36,few clouds
48,Iqaluit,CA,63.7506,-68.5145,47.93,61,20,3.44,few clouds
49,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,91,68,7.0,broken clouds
50,Yellowknife,CA,62.456,-114.3525,63.12,59,40,8.05,scattered clouds
51,Hasaki,JP,35.7333,140.8333,70.29,78,100,11.32,overcast clouds
52,Coahuayana,MX,18.7333,-103.6833,85.28,73,71,4.76,broken clouds
53,Tiksi,RU,71.6872,128.8694,36.82,87,100,14.34,overcast clouds
54,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,11.5,broken clouds
55,Korla,CN,41.7597,86.1469,68.45,22,0,9.66,clear sky
56,Butaritari,KI,3.0707,172.7902,81.81,67,61,15.79,broken clouds
57,Daru,PG,-9.0763,143.2092,77.74,90,98,9.17,overcast clouds
58,Cape Town,ZA,-33.9258,18.4232,60.12,81,20,6.91,few clouds
59,Lavrentiya,RU,65.5833,-171.0,43.99,97,100,31.29,moderate rain
60,Punta Arenas,CL,-53.15,-70.9167,42.91,56,75,23.02,broken clouds
61,Alta Floresta,BR,-9.8756,-56.0861,96.62,34,40,2.3,smoke
62,Port Alfred,ZA,-33.5906,26.891,63.18,90,98,5.01,overcast clouds
63,Atuona,PF,-9.8,-139.0333,76.37,72,56,19.1,broken clouds
64,Qaanaaq,GL,77.484,-69.3632,31.15,85,66,3.96,broken clouds
65,Mezhdurechensk,RU,53.6942,88.0603,35.42,91,5,2.24,clear sky
66,Cutervo,PE,-6.379,-78.8157,59.31,69,100,3.83,light rain
67,Ciudad Bolivar,VE,8.1222,-63.5497,91.81,49,99,6.38,overcast clouds
68,Srednebelaya,RU,50.6594,128.0106,50.38,93,30,7.94,scattered clouds
69,Mezen,RU,65.8522,44.24,47.71,99,100,6.11,overcast clouds
70,Takoradi,GH,4.8845,-1.7554,75.11,90,78,6.35,broken clouds
71,Touros,BR,-5.1989,-35.4608,77.05,71,20,14.18,few clouds
72,Fortuna,US,40.5982,-124.1573,66.92,74,27,4.0,scattered clouds
73,Talnakh,RU,69.4865,88.3972,28.67,88,13,3.83,few clouds
74,Mancio Lima,BR,-7.6142,-72.8958,86.07,51,0,4.61,clear sky
75,Mendi,PG,-6.1761,143.6513,56.07,96,98,2.17,overcast clouds
76,Goderich,CA,43.7501,-81.7165,73.72,68,96,5.75,overcast clouds
77,Pocone,BR,-16.2567,-56.6228,91.31,27,7,4.32,clear sky
78,Marshfield,US,44.6689,-90.1718,79.2,67,99,5.84,overcast clouds
79,Gonzalez,US,30.5816,-87.2914,89.91,55,40,1.01,scattered clouds
